iter	RMSE
0	1657.172782
1	1609.621082
2	1566.878574
3	1526.430862
4	1488.674187
5	1454.717197
6	1423.12017
7	1393.108072
8	1366.377165
9	1341.592076
10	1318.594236
11	1296.528114
12	1277.453361
13	1259.925066
14	1243.32103
15	1227.960817
16	1213.904314
17	1201.276094
18	1189.220526
19	1178.544069
20	1168.534716
21	1161.192628
22	1154.412418
23	1146.828772
24	1139.967348
25	1133.354958
26	1127.231098
27	1122.143664
28	1117.520351
29	1113.718694
30	1109.648089
31	1105.54509
32	1101.900838
33	1098.338216
34	1095.561954
35	1092.592536
36	1090.262831
37	1087.763004
38	1085.207452
39	1083.326554
40	1081.680444
41	1079.795829
42	1078.042739
43	1076.555237
44	1075.440153
45	1074.70737
46	1073.65394
47	1072.819299
48	1071.841687
49	1070.213282
50	1068.924447
51	1067.950362
52	1067.066492
53	1066.352583
54	1065.588326
55	1064.727029
56	1063.971497
57	1063.421214
58	1062.933837
59	1062.143994
60	1061.547444
61	1060.907811
62	1060.491329
63	1059.651009
64	1059.378954
65	1058.828832
66	1058.140901
67	1057.429528
68	1056.986859
69	1056.782416
70	1056.154961
71	1055.794714
72	1055.323805
73	1054.903104
74	1054.543305
75	1054.319938
76	1053.67213
77	1053.436414
78	1053.148083
79	1052.865374
80	1052.561051
81	1052.268046
82	1051.952212
83	1051.519563
84	1051.35045
85	1050.818872
86	1050.20105
87	1049.727897
88	1049.252648
89	1048.883232
90	1048.525143
91	1047.72803
92	1047.481009
93	1047.112997
94	1046.918938
95	1046.488317
96	1046.063755
97	1045.489604
98	1045.261415
99	1044.762006
100	1044.510815
101	1044.277304
102	1044.010462
103	1043.830081
104	1043.643179
105	1043.017446
106	1042.300224
107	1042.020903
108	1041.831642
109	1041.593976
110	1041.399561
111	1041.163966
112	1040.904849
113	1040.544669
114	1039.867773
115	1039.735473
116	1039.494917
117	1039.272516
118	1039.054311
119	1038.853996
120	1038.641296
121	1038.120399
122	1037.881342
123	1037.606892
124	1037.394365
125	1037.293664
126	1036.991092
127	1036.710455
128	1036.509496
129	1036.182008
130	1036.041246
131	1035.873103
132	1035.643326
133	1035.426147
134	1035.202054
135	1034.98072
136	1034.356169
137	1034.231126
138	1034.039899
139	1033.683018
140	1033.550425
141	1033.194374
142	1033.039885
143	1032.605826
144	1032.293697
145	1032.061123
146	1031.906905
147	1031.662748
148	1031.510043
149	1031.187947
150	1031.023013
151	1030.948166
152	1030.572282
153	1030.379179
154	1030.181779
155	1030.042039
156	1029.851077
157	1029.667629
158	1029.257534
159	1029.151951
160	1028.986081
161	1028.827079
162	1028.561996
163	1028.221263
164	1027.992351
165	1027.783595
166	1027.588972
167	1027.470843
168	1027.261547
169	1027.020119
170	1026.669495
171	1026.473194
172	1026.247179
173	1026.023275
174	1025.821087
175	1025.688483
176	1025.507646
177	1025.27191
178	1025.06685
179	1024.916081
180	1024.693286
181	1024.299339
182	1024.079732
183	1023.922183
184	1023.709266
185	1023.499613
186	1023.295929
187	1022.800296
188	1022.580597
189	1022.378007
190	1022.146483
191	1021.950629
192	1021.699475
193	1021.517592
194	1021.263821
195	1021.076731
196	1020.9251
197	1020.746496
198	1020.515784
199	1020.321917
200	1020.153046
201	1019.970468
202	1019.838249
203	1019.643539
204	1019.432382
205	1019.245878
206	1019.141564
207	1018.955967
208	1018.83857
209	1018.593746
210	1018.416681
211	1018.246311
212	1018.102462
213	1017.855294
214	1017.656094
215	1017.486155
216	1017.349853
217	1017.223719
218	1017.136502
219	1017.023483
220	1016.816839
221	1016.664426
222	1016.516266
223	1016.368805
224	1016.285669
225	1016.088313
226	1015.930262
227	1015.725264
228	1015.538013
229	1015.371593
230	1015.096938
231	1014.870934
232	1014.740886
233	1014.593075
234	1014.510968
235	1014.439835
236	1014.201798
237	1014.027332
238	1013.801567
239	1013.636012
240	1013.536137
241	1013.326381
242	1013.221014
243	1013.044804
244	1012.759768
245	1012.545431
246	1012.37696
247	1012.113707
248	1011.925957
249	1011.735708
250	1011.575149
251	1011.437425
252	1011.2528
253	1011.077125
254	1010.848651
255	1010.614415
256	1010.545474
257	1010.327862
258	1010.145115
259	1009.950165
260	1009.704314
261	1009.461644
262	1009.184916
263	1009.014613
264	1008.866948
265	1008.656719
266	1008.493639
267	1008.336315
268	1008.172868
269	1007.885275
270	1007.676802
271	1007.493503
272	1007.254372
273	1007.105604
274	1006.978597
275	1006.704272
276	1006.535873
277	1006.356915
278	1006.15517
279	1005.98574
280	1005.777224
281	1005.535846
282	1005.436851
283	1005.155029
284	1004.96627
285	1004.782259
286	1004.600779
287	1004.429816
288	1004.271823
289	1004.102527
290	1003.958665
291	1003.757943
292	1003.681089
293	1003.519141
294	1003.38487
295	1003.220737
296	1003.027845
297	1002.858725
298	1002.740534
299	1002.50263
300	1002.318364
301	1002.1187
302	1001.975191
303	1001.82094
304	1001.591325
305	1001.522662
306	1001.352273
307	1001.256001
308	1001.169475
309	1001.025868
310	1000.885237
311	1000.722515
312	1000.533717
313	1000.464312
314	1000.249278
315	1000.065531
316	999.8427488
317	999.7319502
318	999.5075293
319	999.3278957
320	998.673316
321	998.5146709
322	998.3110427
323	998.1911817
324	998.0702376
325	997.9484965
326	997.6370082
327	997.5709822
328	997.331571
329	997.1578232
330	997.029059
331	996.8136874
332	996.6579514
333	996.4799653
334	996.2319535
335	995.9992279
336	995.8623848
337	995.6994679
338	995.5537922
339	995.431922
340	995.2389572
341	995.0982114
342	994.7838862
343	994.5643575
344	994.5003479
345	994.4384738
346	994.1955424
347	994.0878442
348	994.0269625
349	993.7654216
350	993.5963492
351	993.4443641
352	993.3869805
353	993.2008332
354	993.1364692
355	992.8993783
356	992.6885244
357	992.5598837
358	992.4564696
359	992.3180099
360	992.1109939
361	991.9807944
362	991.9207079
363	991.7748791
364	991.5760565
365	991.4339032
366	991.3341299
367	991.1670645
368	991.0362948
369	990.8866344
370	990.7021267
371	990.5233626
372	990.2970941
373	990.165471
374	990.0014237
375	989.8742784
376	989.2711526
377	989.1682504
378	989.033253
379	988.9548771
380	988.8392455
381	988.708637
382	988.4942111
383	988.3173687
384	988.135322
385	987.9353401
386	987.8460833
387	987.6543283
388	987.5216309
389	987.3938649
390	987.1679695
391	987.1061393
392	987.005375
393	986.9525627
394	986.7973122
395	986.736963
396	986.5336604
397	986.3397044
398	986.2759039
399	986.0783912
400	985.8140527
401	985.6877831
402	985.5085796
403	985.4459343
404	985.1884138
405	984.9626284
406	984.9002465
407	984.8414486
408	984.7540224
409	984.6609746
410	984.5251455
411	984.3306509
412	984.2761427
413	984.1830444
414	984.1242657
415	984.0354365
416	983.9816019
417	983.9247197
418	983.8246019
419	983.7679026
420	983.7160117
421	983.6667865
422	983.5599798
423	983.4404388
424	983.3643797
425	983.1711707
426	983.0154753
427	982.8596839
428	982.7878417
429	982.6549018
430	982.500037
