iter	Passed	Remaining
0	8	8721
1	15	7705
2	22	7488
3	29	7304
4	36	7250
5	44	7331
6	52	7498
7	62	7719
8	69	7671
9	76	7607
10	84	7629
11	92	7635
12	99	7586
13	106	7512
14	113	7452
15	120	7402
16	127	7353
17	133	7310
18	140	7265
19	147	7222
20	154	7180
21	158	7045
22	165	7026
23	174	7088
24	182	7127
25	190	7154
26	197	7130
27	207	7190
28	213	7156
29	223	7227
30	231	7244
31	241	7296
32	249	7318
33	260	7408
34	268	7412
35	276	7403
36	284	7399
37	291	7387
38	299	7390
39	307	7380
40	314	7367
41	322	7353
42	330	7348
43	337	7336
44	344	7321
45	352	7312
46	358	7269
47	366	7262
48	374	7259
49	381	7247
50	388	7237
51	396	7234
52	404	7230
53	412	7223
54	419	7211
55	427	7205
56	437	7231
57	445	7239
58	456	7288
59	466	7300
60	474	7302
61	482	7295
62	490	7300
63	499	7301
64	506	7290
65	514	7281
66	522	7273
67	531	7288
68	539	7276
69	546	7266
70	554	7257
71	562	7245
72	569	7236
73	577	7232
74	585	7219
75	594	7225
76	602	7218
77	610	7210
78	617	7201
79	625	7195
80	635	7210
81	647	7245
82	655	7236
83	663	7231
84	670	7221
85	678	7205
86	684	7187
87	691	7168
88	698	7148
89	705	7134
90	712	7117
91	719	7098
92	726	7081
93	732	7063
94	739	7047
95	746	7032
96	753	7016
97	760	6999
98	767	6985
99	774	6969
100	781	6952
101	788	6937
102	794	6921
103	801	6904
104	808	6888
105	814	6872
106	821	6858
107	828	6842
108	837	6844
109	844	6834
110	853	6831
111	860	6822
112	867	6806
113	873	6790
114	880	6776
115	887	6760
116	893	6744
117	900	6733
118	907	6719
119	914	6706
120	921	6694
121	928	6680
122	935	6667
123	941	6654
124	948	6639
125	955	6627
126	962	6613
127	968	6600
128	976	6590
129	982	6577
130	989	6564
131	996	6552
132	1003	6543
133	1010	6529
134	1018	6524
135	1025	6512
136	1032	6505
137	1040	6501
138	1049	6498
139	1056	6492
140	1063	6479
141	1070	6469
142	1077	6457
143	1084	6444
144	1091	6433
145	1097	6421
146	1104	6409
147	1111	6398
148	1118	6385
149	1124	6373
150	1132	6366
151	1139	6354
152	1145	6343
153	1153	6334
154	1159	6322
155	1167	6315
156	1174	6304
157	1180	6292
158	1187	6281
159	1192	6263
160	1200	6256
161	1207	6245
162	1214	6234
163	1220	6223
164	1228	6219
165	1238	6220
166	1246	6217
167	1253	6207
168	1260	6196
169	1267	6186
170	1273	6174
171	1280	6163
172	1287	6152
173	1293	6141
174	1300	6128
175	1306	6118
176	1313	6107
177	1319	6095
178	1326	6085
179	1333	6074
180	1340	6066
181	1347	6056
182	1354	6045
183	1361	6036
184	1368	6027
185	1374	6016
186	1381	6007
187	1388	5997
188	1395	5987
189	1402	5979
190	1409	5969
191	1416	5959
192	1423	5951
193	1431	5947
194	1439	5942
195	1446	5932
196	1453	5923
197	1460	5916
198	1467	5905
199	1473	5895
200	1480	5885
201	1487	5875
202	1493	5864
203	1500	5854
204	1506	5844
205	1513	5832
206	1520	5823
207	1526	5813
208	1533	5803
209	1540	5793
210	1546	5782
211	1554	5777
212	1562	5773
213	1570	5768
214	1579	5766
215	1586	5760
216	1594	5754
217	1602	5750
218	1609	5739
219	1616	5730
220	1624	5727
221	1634	5726
222	1642	5722
223	1650	5717
224	1657	5708
225	1663	5697
226	1670	5688
227	1677	5678
228	1683	5669
229	1690	5660
230	1697	5650
231	1704	5642
232	1711	5633
233	1718	5624
234	1724	5614
235	1732	5607
236	1738	5598
237	1745	5589
238	1752	5581
239	1759	5572
240	1766	5564
241	1773	5555
242	1780	5546
243	1787	5536
244	1793	5527
245	1800	5519
246	1808	5514
247	1815	5504
248	1823	5498
249	1831	5494
250	1839	5489
251	1846	5481
252	1854	5476
253	1862	5469
254	1870	5465
255	1877	5455
256	1883	5446
257	1890	5436
258	1896	5427
259	1903	5417
260	1910	5409
261	1917	5401
262	1924	5392
263	1930	5382
264	1937	5373
265	1944	5366
266	1951	5357
267	1958	5349
268	1965	5342
269	1972	5333
270	1979	5325
271	1986	5317
272	1993	5308
273	2000	5300
274	2007	5291
275	2013	5283
276	2022	5280
277	2031	5276
278	2039	5269
279	2046	5261
280	2053	5254
281	2060	5247
282	2067	5237
283	2074	5229
284	2081	5221
285	2087	5212
286	2094	5204
287	2101	5196
288	2108	5186
289	2115	5178
290	2121	5170
291	2128	5161
292	2135	5153
293	2142	5144
294	2149	5136
295	2156	5128
296	2163	5121
297	2171	5115
298	2178	5106
299	2185	5098
300	2192	5091
301	2199	5082
302	2205	5074
303	2212	5066
304	2220	5060
305	2228	5054
306	2237	5050
307	2245	5044
308	2252	5036
309	2258	5027
310	2265	5019
311	2272	5010
312	2278	5002
313	2285	4993
314	2292	4985
315	2299	4976
316	2306	4968
317	2312	4960
318	2319	4951
319	2326	4943
320	2333	4935
321	2339	4926
322	2346	4918
323	2353	4909
324	2359	4901
325	2366	4892
326	2373	4884
327	2380	4876
328	2387	4869
329	2394	4860
